ASIANHOTNR,Asian Hotels (North) Limited,Consumer Services,Hotels & Resorts
ASIANPAINT,Asian Paints Ltd ,Consumer Durables,Paints
ASIANTILES,Asian Granito India Ltd ,Consumer Durables,Ceramics
ASKAUTOLTD,Ask Automotive Ltd,Automobile and Auto Components,Auto Components & Equipments
ASLIND,ASL Industries Ltd,Automobile and Auto Components,Auto Components & Equipments
ASMS,Bartronics India Ltd ,Information Technology,IT Enabled Services
ASPINWALL,Aspinwall & Company Ltd,Services,Logistics Solution Provider
ASPIRE,Aspire & Innovative Advertising Ltd,Services,Trading & Distributors
ASTEC,Astec Lifesciences Limited,Chemicals,Pesticides & Agrochemicals
ASTERDM,Aster Dm Healthcare Ltd,Healthcare,Hospital
ASTRAL,Astral Ltd,Capital Goods,Plastic Products - Industrial
ASTRAMICRO,Astra Microwave Products Ltd ,Capital Goods,Aerospace & Defense
ASTRAZEN,Astrazeneca Pharma India Ltd ,Healthcare,Pharmaceuticals
ASTRON,Astron Paper & Board Mill Ltd,Forest Materials,Paper & Paper Products
ATALREAL,Atal Realtech Ltd,Realty,Residential- Commercial Projects
ATAM,Atam Valves Ltd,Capital Goods,Industrial Products
ATCENERGY,ATC Energies System Ltd,Capital Goods,Other Electrical Equipment
ATGL,Adani Total Gas Ltd,Oil Gas & Consumable Fuels,LPG/CNG/PNG/LNG Supplier
ATHERENERG,Ather Energy Ltd,Automobile and Auto Components,2/3 Wheelers
ATL,Allcargo Terminals Ltd,Services,Port & Port services
ATLANTAA,Atlantaa Ltd,Construction,Civil Construction
ATLASCYCLE,Atlas Cycle Industries Ltd,Automobile and Auto Components,Auto Components & Equipments
ATMASTCO,Atmastco Ltd,Construction,Civil Construction
ATUL,Atul Ltd ,Chemicals,Specialty Chemicals
ATULAUTO,Atul Auto Ltd   ,Capital Goods,Commercial Vehicles
AUBANK,Au Small Finance Bank Ltd,Financial Services,Other Bank
AURDIS,Aurangabad Distillery Ltd,Fast Moving Consumer Goods,Breweries & Distilleries
AURIONPRO,Aurionpro Solutions Ltd ,Information Technology,Computers - Software & Consulting
AUROIMPEX,Auro Impex & Chemicals Ltd,Capital Goods,Other Industrial Products
AUROPHARMA,Aurobindo Pharma Ltd ,Healthcare,Pharmaceuticals
AURUM,Aurum Proptech Ltd,Information Technology,IT Enabled Services
AUSL,Aditya Ultra Steel Ltd,Capital Goods,Iron & Steel Products
AUSOMENT,Ausom Enterprise Limited,Consumer Durables,Gems- Jewellery And Watches
AUTOAXLES,Automotive Axles Ltd ,Automobile and Auto Components,Auto Components & Equipments
AUTOBEES,ETF,Z,Z
AUTOIETF,ETF,Z,Z
AUTOIND,Autoline Industries Ltd ,Automobile and Auto Components,Auto Components & Equipments
AVADHSUGAR,Avadh Sugar & Energy Ltd,Fast Moving Consumer Goods,Sugar
AVALON,Avalon Technologies Ltd,Capital Goods,Other Electrical Equipment
AVANTEL,Avantel Ltd,Telecommunication,Telecom - Infrastructure
AVANTIFEED,Avanti Feeds Ltd   ,Fast Moving Consumer Goods,Animal Feed
AVG,Avg Logistics Ltd,Services,Logistics Solution Provider
AVIANSH,Avi Ansh Textile Ltd,Textiles,Other Textile Products
AVL,Aditya Vision Ltd,Consumer Services,Speciality Retail
AVONMORE,Avonmore Capital & Management Services Limited,Financial Services,Non Banking Financial Company (NBFC)
AVPINFRA,Avp Infracon Ltd,Construction,Civil Construction
AVROIND,Avro India Ltd,Consumer Durables,Plastic Products - Consumer
AVSL,AVSL Industries Ltd,Capital Goods,Plastic Products - Industrial
AVTNPL,Avt Natural Products Ltd ,Fast Moving Consumer Goods,Other Agricultural Products
AWFIS,Awfis Space Solutions Ltd,Services,Diversified Commercial Services
AWHCL,Antony Waste Handling Cell Ltd,Utilities,Waste Management
AWL,Adani Wilmar Ltd,Fast Moving Consumer Goods,Edible Oil
AXISBANK,Axis Bank Ltd ,Financial Services,Private Sector Bank
AXISBNKETF,ETF,Z,Z
AXISBPSETF,ETF,Z,Z
AXISCADES,Axiscades Technologies Ltd,Information Technology,IT Enabled Services
AXISCETF,ETF,Z,Z
AXISGOLD,ETF,Z,Z
AXISHCETF,ETF,Z,Z
AXISILVER,ETF,Z,Z
AXISNIFTY,ETF,Z,Z
AXISTECETF,ETF,Z,Z
AXISVALUE,ETF,Z,Z
AXITA,Axita Cotton Ltd,Textiles,Other Textile Products
AXSENSEX,ETF,Z,Z
AYMSYNTEX,Aym Syntex Ltd,Textiles,Other Textile Products
AZAD,Azad Engineering Ltd,Capital Goods,Heavy Electrical Equipment
BABAFP,Baba Food Processing India Ltd,Fast Moving Consumer Goods,Packaged Foods
