,
Company,Market Cap (Cr)
Concord Biotech Ltd.,"11,545"
Jaiprakash Power Ventures Ltd.,"11,528"
Aditya Birla Lifestyle Brands Ltd.,"11,519"
Cohance Lifesciences Ltd.,"11,510"
Privi Speciality Chemicals Ltd.,"11,486"
Alivus Life Sciences Ltd.,"11,478"
Ingersoll-Rand (India) Ltd.,"11,468"
Jupiter Wagons Ltd.,"11,319"
Rainbow Childrens Medicare Ltd.,"11,268"
Godrej Agrovet Ltd.,"11,215"
BlackBuck Ltd.,"11,193"
Can Fin Homes Ltd.,"11,152"
Shipping Corporation of India Ltd.,"11,123"
Shaily Engineering Plastics Ltd.,"11,120"
India Cements Ltd.,"11,113"
Inox India Ltd.,"10,991"
HFCL Ltd.,"10,981"
SKF India (Industrial) Ltd.,"10,970"
Tilaknagar Industries Ltd.,"10,967"
Engineers India Ltd.,"10,946"
Cupid Ltd.,"10,932"
Lumax Auto Technologies Ltd.,"10,931"
Welspun Living Ltd.,"10,909"
MTAR Technologies Ltd.,"10,874"
Finolex Industries Ltd.,"10,871"
Swan Defence and Heavy Industries Ltd.,"10,837"
Indian Energy Exchange Ltd.,"10,828"
NMDC Steel Ltd.,"10,808"
Signatureglobal (India) Ltd.,"10,805"
Indegene Ltd.,"10,778"
The Bombay Burmah Trading Corporation Ltd.,"10,689"
Aptus Value Housing Finance India Ltd.,"10,608"
Five-Star Business Finance Ltd.,"10,568"
Whirlpool of India Ltd.,"10,533"
Thangamayil Jewellery Ltd.,"10,482"
Gravita India Ltd.,"10,481"
Ola Electric Mobility Ltd.,"10,467"
Ujjivan Small Finance Bank Ltd.,"10,442"
Swan Corp Ltd.,"10,343"
Birlasoft Ltd.,"10,294"
Afcons Infrastructure Ltd.,"10,276"
Nuvoco Vistas Corporation Ltd.,"10,275"
Edelweiss Financial Services Ltd.,"10,071"
Action Construction Equipment Ltd.,"10,068"
PVR INOX Ltd.,"10,007"
Corona Remedies Ltd.,"9,980"
Home First Finance Company India Ltd.,"9,977"
